name,category,brand,strainType,priceRec,dispensary,productUrl,price,potency,quantity
Pink Passion Fruit | Grown Rogue ID Flower,FLOWER,Grown Rogue,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=0bd1566b-2a5f-4010-8278-85a14a8f4b93,36.0,,
Rainbow Runtz | URBNJ Flower,FLOWER,URBNJ,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=b1db753e-71a7-4e7b-8400-1d001484226e,78.0,,14.0
Rainbow Runtz | URBNJ Flower,FLOWER,URBNJ,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=921482af-944d-4259-8b0a-3badb056478a,123.5,,
Rainbow Runtz | URBNJ Flower,FLOWER,URBNJ,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=52c3a082-f82b-4853-9963-263bbca94734,7.8,,
Savvy | White Runtz Flower (Smalls),FLOWER,Savvy,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=371d4234-f48e-4537-8ee0-da855e8d3f8e,52.0,,
Bubblegum Wedding | Kind Tree Flower,FLOWER,Cookies,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=6f3dbc7b-06c0-440b-8157-45e554a30e2b,123.5,,14.0
Mac N Jack | URBNJ Flower (Shake),FLOWER,URBNJ,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=e4c2cfbb-6da7-4774-95ec-9f9a2bea4dc4,28.6,,
White Durban | RYTHM Fower,FLOWER,Rythm,SATIVA,,shopcuzzies,https://www.shopcuzzies.com/?product=286c9116-40a5-4e59-ba92-fdd7e1f6f78c,48.75,,
Red Velvet | URBNJ Pre-Roll,PRE_ROLLS,URBNJ,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=330458da-e6b9-4d28-8826-e55e8ee8a1ce,7.8,,
Evan's OG Kush | Hamilton Farms Flower,FLOWER,Hamilton Farms,SATIVA,,shopcuzzies,https://www.shopcuzzies.com/?product=52f34f80-6b0d-4317-ab22-8495c96be349,39.0,,
Riptide Flower | High Grass Farms,FLOWER,High Grass Farms Premium,INDICA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=82cd3301-f3b8-4b1a-8776-8bb921c98bac,27.0,,
Mendo OG | Garden Greens Flower,FLOWER,Garden Greens,INDICA,,shopcuzzies,https://www.shopcuzzies.com/?product=20012155-9f6c-445a-ac3b-78ad6c8ec767,39.0,,5.0
Sherbacio x Sweet Tea | Jerzey Grown Premium Flower,FLOWER,Jerzey Grown Premium,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=174290c3-4905-41ca-8082-0433085396a5,39.0,,
Sherbacio x Sweet Tea | Jerzey Grown Pre-Roll,PRE_ROLLS,Jerzey Grown,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=ca893a6d-c8ee-4688-9178-e440235676a2,9.75,,
Caramel Cake | URBNJ Flower,FLOWER,URBNJ,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=9a09bea1-bbd9-4371-b1e8-87c9aa55e3ed,7.8,,
Caramel Cake | URBNJ Flower,FLOWER,URBNJ,INDICA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=601a860d-929b-4fe9-9b38-72a96361d2ac,45.5,,7.0
